candidate_id,firstname,lastname,email,password,skills,location,education,preferredJobTitle,experience,preferredJobType,preferredWorkType,softSkills
42,Saamiya,Gohar,saamiyagohar.67@gmail.com,*9^bQ93j_m,"threat detection, security monitoring, network traffic analysis",Bahawalpur,Masters,Security Operations Center (SOC) Analyst,10,Full-time,Remote,"Problem Solving, Teamwork, Adaptability"
43,Farooq,Gohar,farooqgohar.52@gmail.com,390rWy@t#M,"C#, Unity, 3D modeling",Lahore,Bachelors,Game Developer,3,Part-time,Onsite,Teamwork
44,Noor,Samad,noorsamad.20@hotmail.com,vx*&mS8f&1,"customer service, ticketing, troubleshooting, helpdesk",Islamabad,PhD,IT Support Specialist,17,Contract,Onsite,"Teamwork, Problem Solving, Communication"
45,Salam,ur,salamur.53@outlook.com,N4OXcBb#*p,"Google Cloud, IaC, IaC, Azure",Multan,Intermediate,Cloud Engineer,0,Contract,Onsite,"Teamwork, Communication, Adaptability, Problem Solving"
46,Abir,Younis,abiryounis.74@hotmail.com,@x07ONdc&q,"web, web, JavaScript, backend",Lahore,Bachelors,Web Developer,0,Part-time,Onsite,Adaptability
47,Alishba,Qadir,alishbaqadir.37@outlook.com,64$2RSaD+a,"incident escalation, threat detection, network traffic analysis, security policies, incident escalation, security policies",Gujranwala,Intermediate,Security Operations Center (SOC) Analyst,0,Contract,Remote,Teamwork
48,Ahmed,Abdul,ahmedabdul.28@hotmail.com,&EG2Snqj)V,"social engineering, metasploit, threat modeling, network security, social engineering",Quetta,Bachelors,Ethical Hacker,3,Part-time,Remote,Adaptability
49,Charlie,Majid,charliemajid.24@outlook.com,#c1m+ICz9c,"DevOps, Kubernetes, DevOps, automation",Sialkot,PhD,DevOps Engineer,17,Part-time,Onsite,"Adaptability, Problem Solving"
50,Fawad,Bux,fawadbux.32@hotmail.com,m*EFKpVmZ3,"Scala, Hadoop, Hive, MapReduce",Rawalpindi,Intermediate,Big Data Engineer,0,Part-time,Remote,"Problem Solving, Adaptability, Teamwork"
51,Hammad,Hussian,hammadhussian.51@hotmail.com,J@5CRiuvM^,"Oracle, PostgreSQL, NoSQL, PostgreSQL, Oracle, SQL",Gujranwala,Masters,Database Administrator,0,Contract,Onsite,"Problem Solving, Teamwork, Adaptability"
52,Hareem,Masih,hareemmasih.21@hotmail.com,7Ds^PmBF)#,"vulnerability assessment, metasploit, wireless security",Abbottabad,Intermediate,Ethical Hacker,1,Contract,Remote,"Problem Solving, Teamwork, Communication, Adaptability"
53,Aamir,Nabi,aamirnabi.28@gmail.com,+v27I#Se+g,"smart contract, ethereum, smart contract, smart contract, blockchain",Quetta,Masters,Blockchain Developer,10,Full-time,Onsite,"Teamwork, Problem Solving"
54,Eddie,Javaid,eddiejavaid.12@hotmail.com,sp0cdjPXh*,"data structure, data structure, programming, data structure",Hyderabad,Bachelors,Software Engineer,2,Contract,Remote,"Teamwork, Adaptability"
55,Mustafa,Shahbaz,mustafashahbaz.59@outlook.com,(S48tK1zq#,"Swift, Swift, Kotlin, iOS, Kotlin",Lahore,Masters,Mobile App Developer,8,Contract,Onsite,"Adaptability, Teamwork, Problem Solving, Communication"
56,Kiki,Shah,kikishah.78@hotmail.com,T567WLNaQ%,"TOGAF, ITIL, consulting, ITIL, consulting, consulting",Nawabshah,Masters,IT Consultant,6,Contract,Remote,"Communication, Teamwork"
57,Huma,Ansari,humaansari.97@hotmail.com,aKv@3FQpER,"blockchain, smart contract, hyperledger, hyperledger, ethereum",Peshawar,Bachelors,Blockchain Developer,5,Contract,Onsite,"Teamwork, Adaptability, Communication"
58,Saddam,Wahab,saddamwahab.86@gmail.com,K@a1kFGqeC,"Figma, Figma, Figma",Faisalabad,Masters,UI/UX Designer,0,Internship,Remote,"Teamwork, Adaptability, Problem Solving"
59,Sheeza,Bibi,sheezabibi.69@outlook.com,E_1p6Y^oGA,"security compliance, security governance, security governance",Hyderabad,PhD,Security Architect,17,Full-time,Onsite,"Teamwork, Problem Solving, Communication"
60,Adeena,Zahid,adeenazahid.43@hotmail.com,%2cCSfrxte,"JavaScript, HTML, frontend, JavaScript",Rawalpindi,Bachelors,Frontend Developer,2,Contract,Remote,Adaptability
61,Ateeq,Chandio,ateeqchandio.90@outlook.com,!5YMJkvg@i,"OpenCV, OpenCV, object detection, CNN, object detection",Lahore,Bachelors,Computer Vision Engineer,1,Part-time,Remote,"Communication, Teamwork"
62,Usman,Satar,usmansatar.45@gmail.com,)3ZH(5fafN,"consulting, consulting, TOGAF, TOGAF, strategy, consulting",Bahawalpur,Bachelors,IT Consultant,0,Contract,Onsite,"Communication, Teamwork, Problem Solving, Adaptability"
63,Khadija,Allah,khadijaallah.83@outlook.com,Gha!OrYk+6,"HTML, HTML, HTML",Nawabshah,Intermediate,Frontend Developer,2,Part-time,Onsite,"Communication, Teamwork, Adaptability, Problem Solving"
64,Mujtaba,Arain,mujtabaarain.89@hotmail.com,HD!4EK8bSt,"object detection, OpenCV, object detection, image processing",Quetta,Bachelors,Computer Vision Engineer,2,Part-time,Remote,"Adaptability, Problem Solving, Communication, Teamwork"
65,Kiki,Hussian,kikihussian.64@outlook.com,t4)^G^fn$N,"network monitoring, network security protocols, network configuration",Bahawalpur,Masters,Network Administrator,4,Contract,Remote,"Teamwork, Communication"
66,Sheeza,Nadeem,sheezanadeem.93@hotmail.com,Mxh3PdXp*f,"HTML, HTML, CSS",Islamabad,PhD,Web Developer,5,Part-time,Onsite,Problem Solving
67,Ruby,Naeem,rubynaeem.26@gmail.com,_1XpJ#sbbI,"Azure, Azure, cloud",Bahawalpur,Bachelors,Cloud Engineer,3,Contract,Onsite,"Adaptability, Communication"
68,Muhammad,Lal,muhammadlal.28@outlook.com,!4yTMavFI2,"statistics, python, data, statistics, statistics",Karachi,Intermediate,Data Scientist,1,Contract,Remote,"Teamwork, Problem Solving, Adaptability, Communication"
69,Maheen,Naeem,maheennaeem.83@gmail.com,32BUiZxp)j,"Swift, Kotlin, Kotlin, Kotlin, iOS, Android",Karachi,Bachelors,Mobile App Developer,5,Part-time,Onsite,"Teamwork, Communication, Problem Solving"
70,Muzammal,Nadeem,muzammalnadeem.68@gmail.com,9A^31Tute&,"Hadoop, MapReduce, Hadoop, Hadoop",Peshawar,Bachelors,Big Data Engineer,4,Part-time,Remote,Adaptability
71,Ismail,Tariq,ismailtariq.88@hotmail.com,9IjR8nNf+u,"CNN, image processing, image processing, CNN",Rawalpindi,Masters,Computer Vision Engineer,4,Contract,Remote,"Communication, Teamwork, Problem Solving"
72,Usama,Saeed,usamasaeed.92@gmail.com,VRTFVMn9_9,"automation, Docker, DevOps, Docker, linuxCI/CD, DevOps",Rawalpindi,Bachelors,DevOps Engineer,2,Contract,Remote,"Communication, Adaptability"
73,Sonia,Irfan,soniairfan.13@outlook.com,*kO%1BOlTt,"threat modeling, network security design, security protocols",Quetta,Masters,Security Architect,2,Contract,Onsite,"Communication, Teamwork"
74,Omar,Iqbal,omariqbal.54@outlook.com,*4^P9Zf+a8,"DevOps, DevOps, automation, Docker, automation, Docker",Quetta,Intermediate,DevOps Engineer,0,Internship,Onsite,"Problem Solving, Adaptability"
75,Minahel,Nadeem,minahelnadeem.46@gmail.com,7*y47HFjCs,"Adobe XD, Sketch, Figma, Adobe XD, Sketch",Quetta,Intermediate,UI/UX Designer,1,Part-time,Remote,"Teamwork, Problem Solving, Adaptability, Communication"
76,Ayeza,Tufail,ayezatufail.76@hotmail.com,z4aDcTiP(B,"SQL, SQL, PostgreSQL",Quetta,PhD,Database Administrator,10,Full-time,Remote,Teamwork
77,Usama,Yar,usamayar.74@hotmail.com,lwKdtqhB(7,"metasploit, metasploit, web application security, web application security",Sukkur,PhD,Ethical Hacker,17,Full-time,Remote,"Problem Solving, Adaptability"
78,Leah,Syed,leahsyed.20@hotmail.com,^DRUU_Qm7H,"pytest, QA, testing, pytest, QA",Bahawalpur,Bachelors,Quality Assurance Engineer,1,Full-time,Onsite,Communication
79,Manaal,Haq,manaalhaq.76@gmail.com,g7UGhi1B!z,"JUnit, JUnit, Selenium, pytest, QA, JUnit",Gujranwala,Bachelors,Quality Assurance Engineer,5,Contract,Remote,"Communication, Adaptability, Problem Solving"
80,Usman,Gohar,usmangohar.60@outlook.com,PU9k8N9n)u,"Hive, Spark, Hadoop, Spark",Sialkot,Masters,Big Data Engineer,3,Contract,Remote,"Problem Solving, Adaptability, Communication"
81,Swan,Hafeez,swanhafeez.31@outlook.com,8@^3qDtqEh,"CSS, JavaScript, web, JavaScript, CSS",Gujranwala,Masters,Frontend Developer,5,Part-time,Onsite,"Teamwork, Adaptability, Problem Solving"
82,Humna,Kamran,humnakamran.60@gmail.com,)D7Pwga&Zr,"security, networking, Linux, Linux, Linux",Multan,PhD,System Administrator,13,Contract,Onsite,"Teamwork, Adaptability, Communication"
83,Eddie,Yousaf,eddieyousaf.64@hotmail.com,_L2g2aJd(3,"MapReduce, Spark, Hive, Hadoop, Hadoop",Gujranwala,Masters,Big Data Engineer,6,Part-time,Remote,"Teamwork, Adaptability, Problem Solving, Communication"
84,Humna,Waheed,humnawaheed.77@outlook.com,!3&jDhBm(t,"automation, DevOps, DevOps, DevOps",Nawabshah,PhD,DevOps Engineer,5,Contract,Onsite,"Adaptability, Communication, Problem Solving, Teamwork"
85,Adi,Abdullah,adiabdullah.53@outlook.com,zY0&Nmxq$m,"image processing, CNN, OpenCV, image processing, object detection",Peshawar,PhD,Computer Vision Engineer,11,Part-time,Remote,"Adaptability, Problem Solving"
86,Ajwa,Hafeez,ajwahafeez.68@outlook.com,r8%1Jwi0$S,"analytics, data, statistics, analytics, python, python",Abbottabad,Intermediate,Data Scientist,2,Full-time,Remote,"Problem Solving, Teamwork, Adaptability"
87,Sarah,Abdullah,sarahabdullah.11@gmail.com,(9CGR6Swwk,"business, ITIL, business, strategy, ITIL, business",Hyderabad,Intermediate,IT Consultant,2,Full-time,Remote,Problem Solving
88,Sidra,Waqas,sidrawaqas.39@gmail.com,34I3sP@U&m,"stakeholder management, process improvement, process improvement, process improvement, process improvement",Sukkur,Intermediate,Business Analyst,1,Part-time,Onsite,"Communication, Adaptability, Problem Solving, Teamwork"
89,Thinker,Irshad,thinkerirshad.27@hotmail.com,(s0j@SqyL!,"business, consulting, TOGAF, business, business, ITIL",Hyderabad,Bachelors,IT Consultant,2,Contract,Onsite,"Communication, Adaptability, Teamwork, Problem Solving"
90,Ayeza,Sabir,ayezasabir.24@outlook.com,9%)Yta4f__,"security protocols, identity and access management, identity and access management, threat modeling",Bahawalpur,Masters,Security Architect,6,Full-time,Remote,"Adaptability, Teamwork"
91,Mustafa,Bilal,mustafabilal.56@gmail.com,HWqr46Oev%,"security, security, Linux, networking",Peshawar,Intermediate,System Administrator,0,Part-time,Onsite,"Communication, Problem Solving, Adaptability"
92,Farooq,Husain,farooqhusain.98@gmail.com,#SH46Yp#q8,"computer vision, NLP, machine learning",Quetta,Intermediate,Machine Learning Engineer,1,Part-time,Onsite,"Communication, Problem Solving"
93,Bilal,Asif,bilalasif.24@outlook.com,7)2Yel%HGf,"image processing, CNN, OpenCV",Faisalabad,Intermediate,Computer Vision Engineer,2,Full-time,Onsite,"Adaptability, Teamwork, Problem Solving, Communication"
94,Mirha,Tariq,mirhatariq.21@outlook.com,vgH6TGqjz*,"linuxCI/CD, linuxCI/CD, linuxCI/CD, automation",Rawalpindi,PhD,DevOps Engineer,19,Full-time,Onsite,"Communication, Adaptability, Problem Solving"
95,Shahzaib,Baig,shahzaibbaig.86@gmail.com,g&36As5+@C,"JavaScript, JavaScript, CSS",Karachi,PhD,Backend Developer,17,Full-time,Remote,Adaptability
96,Sheharyar,Inayat,sheharyarinayat.37@gmail.com,)lSJUuF&c1,"agile, agile, PRINCE2, PMP, agile, agile",Abbottabad,Bachelors,IT Project Manager,3,Contract,Remote,"Teamwork, Adaptability, Communication, Problem Solving"
97,Minz,Javed,minzjaved.63@hotmail.com,U#$7K%)m!b,"MapReduce, Hive, Hive, Hadoop",Nawabshah,Bachelors,Big Data Engineer,2,Contract,Remote,"Communication, Adaptability"
98,Sarah,Awan,sarahawan.41@outlook.com,0#46PiH9+n,"computer vision, machine learning, NLP",Sialkot,Masters,AI Engineer,1,Internship,Remote,"Teamwork, Problem Solving, Communication, Adaptability"
99,Nemera,Yaseen,nemerayaseen.28@outlook.com,d33XSus!%D,"troubleshooting, ticketing, troubleshooting, troubleshooting",Gujranwala,Masters,IT Support Specialist,5,Part-time,Onsite,"Problem Solving, Communication, Teamwork, Adaptability"
100,Haris,Riaz,harisriaz.64@outlook.com,%!4iDCq*@U,"MySQL, Oracle, SQL, NoSQL",Karachi,PhD,Database Administrator,11,Full-time,Remote,Adaptability
101,Wishal,Hafeez,wishalhafeez.50@outlook.com,_4rPCwgsu9,"Sketch, Figma, Figma, Adobe XD",Multan,Masters,UI/UX Designer,2,Contract,Onsite,"Problem Solving, Teamwork, Communication, Adaptability"
102,Mustafa,Hanif,mustafahanif.40@outlook.com,r2G0w7#w*A,"wireless security, vulnerability assessment, wireless security, penetration testing, penetration testing",Faisalabad,PhD,Ethical Hacker,0,Contract,Remote,"Teamwork, Problem Solving, Adaptability"
103,Ahmad,Nadeem,ahmadnadeem.91@gmail.com,)KjRFznu1h,"security, security, networking, networking, Linux, networking",Faisalabad,Bachelors,System Administrator,1,Part-time,Remote,"Adaptability, Teamwork, Communication, Problem Solving"
104,Tabinda,Sabir,tabindasabir.45@gmail.com,^3GoO(w34Y,"penetration testing, risk assessment, IDPS",Abbottabad,PhD,Cybersecurity Analyst,20,Part-time,Onsite,"Communication, Adaptability, Teamwork"
105,Arooba,Sabir,aroobasabir.86@hotmail.com,@eRYpw*g$6,"analytics, statistics, statistics, machine learning, R, analytics",Sialkot,Intermediate,Data Scientist,1,Contract,Remote,"Communication, Problem Solving, Adaptability, Teamwork"
106,Adeena,Husain,adeenahusain.23@outlook.com,1UZ6RHSd*A,"cryptography, vulnerability assessment, cryptography",Gujranwala,Intermediate,Cybersecurity Analyst,1,Full-time,Remote,Adaptability
107,Noon,Yaqoob,noonyaqoob.83@gmail.com,)p0IjOTn4P,"networking, Linux, networking",Karachi,Intermediate,System Administrator,1,Full-time,Onsite,"Communication, Adaptability, Teamwork, Problem Solving"
108,Muhammad,Imtiaz,muhammadimtiaz.64@gmail.com,K^z3trUanp,"pytest, JUnit, pytest, Selenium, pytest, pytest",Peshawar,PhD,Quality Assurance Engineer,10,Part-time,Remote,"Adaptability, Teamwork, Problem Solving, Communication"
109,Huma,Murad,humamurad.81@gmail.com,w4_Uqhij!h,"threat modeling, encryption standards, identity and access management, security compliance, encryption standards",Gujranwala,Intermediate,Security Architect,0,Contract,Onsite,"Communication, Adaptability"
110,Naila,Suleman,nailasuleman.90@hotmail.com,3kQ*P7Ip*F,"data structure, coding, programming, programming",Peshawar,Intermediate,Software Engineer,0,Contract,Onsite,"Adaptability, Problem Solving, Teamwork, Communication"
111,Ujalaa,Hanif,ujalaahanif.73@outlook.com,VQ$ic7QjFs,"computer vision, computer vision, NLP",Sialkot,Intermediate,AI Engineer,2,Contract,Onsite,"Teamwork, Communication"
112,Ayan,Mirza,ayanmirza.34@outlook.com,*l2FA!3eX8,"frontend, web, frontend",Hyderabad,Bachelors,Web Developer,0,Part-time,Remote,Adaptability
113,Alina,Rasool,alinarasool.32@gmail.com,(X9n1EhwLH,"Linux, networking, Linux, Linux, security",Sukkur,Bachelors,System Administrator,1,Part-time,Onsite,"Communication, Adaptability, Teamwork"
114,Zafar,Bilal,zafarbilal.42@hotmail.com,^2T@MvjgI6,"networking, networking, Linux, security",Sukkur,PhD,System Administrator,14,Full-time,Remote,"Teamwork, Problem Solving, Communication, Adaptability"
115,Noor,Ejaz,noorejaz.41@outlook.com,$5)9WqsnCX,"CSS, CSS, CSS, frontend, HTML, web",Sukkur,Masters,Web Developer,6,Full-time,Remote,"Problem Solving, Teamwork"
116,Shayan,Ullah,shayanullah.29@outlook.com,NrGFfkVV^0,"linuxCI/CD, linuxCI/CD, Kubernetes, linuxCI/CD, automation, Kubernetes",Peshawar,Masters,DevOps Engineer,4,Part-time,Onsite,"Communication, Problem Solving, Teamwork, Adaptability"
117,Hammad,Jamal,hammadjamal.85@outlook.com,)Y5mQ7i_y+,"automation, Kubernetes, automation, Kubernetes, Kubernetes",Sialkot,Masters,DevOps Engineer,8,Contract,Onsite,"Adaptability, Problem Solving, Teamwork"
118,Bakhtiyar,Memon,bakhtiyarmemon.70@gmail.com,Y5S^_OpB^r,"coding, data structure, data structure, algorithm, coding, algorithm",Hyderabad,Masters,Software Engineer,10,Full-time,Onsite,"Problem Solving, Communication, Adaptability, Teamwork"
119,Habib,Rahman,habibrahman.44@hotmail.com,5XMc+BPg*y,"web application security, penetration testing, vulnerability assessment, threat modeling",Nawabshah,Bachelors,Ethical Hacker,2,Contract,Onsite,"Problem Solving, Adaptability, Communication"
120,Annie,Ameen,annieameen.27@hotmail.com,%7@CBlokvB,"Hive, MapReduce, Hive, MapReduce",Hyderabad,Masters,Big Data Engineer,3,Part-time,Onsite,"Teamwork, Adaptability, Problem Solving, Communication"
121,Dua,Salam,duasalam.83@outlook.com,&u20BDxwfl,"requirements gathering, stakeholder management, process improvement, process improvement, requirements gathering",Sialkot,Bachelors,Business Analyst,0,Contract,Onsite,"Teamwork, Adaptability"
122,Huma,Khan,humakhan.63@outlook.com,V8X8G5Hnf!,"OpenCV, image processing, CNN, OpenCV, image processing, image processing",Quetta,PhD,Computer Vision Engineer,20,Part-time,Onsite,"Problem Solving, Communication, Adaptability, Teamwork"
123,Nerda,Arain,nerdaarain.18@outlook.com,ufy*P0JfU),"C#, Unreal Engine, Unreal Engine, 3D modeling",Faisalabad,Intermediate,Game Developer,2,Full-time,Onsite,Teamwork
124,Shaukat,Deen,shaukatdeen.27@outlook.com,tD5wWkCD^&,"deep learning, machine learning, computer vision",Hyderabad,Intermediate,Machine Learning Engineer,1,Full-time,Onsite,"Communication, Problem Solving, Teamwork, Adaptability"
125,Sajida,Anwer,sajidaanwer.35@outlook.com,I8iBZsMe)v,"customer service, troubleshooting, helpdesk, customer service",Abbottabad,Bachelors,IT Support Specialist,2,Part-time,Onsite,"Adaptability, Teamwork, Problem Solving, Communication"
126,Waseem,Qadeer,waseemqadeer.19@outlook.com,(7^WAR_aYk,"JavaScript, web, frontend, CSS, web",Bahawalpur,Bachelors,Web Developer,2,Contract,Remote,"Problem Solving, Communication"
127,Benish,Baksh,benishbaksh.21@hotmail.com,IR!7ZaECR!,"agile, scrum, PRINCE2",Karachi,Intermediate,IT Project Manager,0,Full-time,Onsite,"Adaptability, Teamwork, Communication"
128,Humna,Basheer,humnabasheer.22@gmail.com,F_90FKfTU_,"security procedures, security monitoring, security tool management, threat detection",Hyderabad,Bachelors,Security Operations Center (SOC) Analyst,0,Full-time,Onsite,Teamwork
